,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Season,Team
7,2023-07-26,17:00,World Cup,Group stage,Wed,Neutral,W,2,0,cr Costa Rica,2.5,0.2,57.0,6992.0,Saki Kumagai,3-4-3,4-4-1-1,Maria Sole Ferrieri Caputi,Match Report,,24.0,12.0,50.0,0.08,0.17,14.9,0.0,0,0,2023,Japan Women
8,2023-07-31,19:00,World Cup,Group stage,Mon,Neutral,W,4,0,es Spain,0.9,0.7,24.0,20957.0,Saki Kumagai,3-4-3,4-3-3,Katja Koroleva,Match Report,,7.0,5.0,71.4,0.57,0.8,18.4,1.0,0,0,2023,Japan Women
9,2023-08-05,20:00,World Cup,Round of 16,Sat,Neutral,W,3,1,no Norway,1.0,0.8,60.0,33042.0,Saki Kumagai,3-4-3,4-3-3,Edina Alves Batista,Match Report,,16.0,4.0,25.0,0.13,0.5,20.1,0.0,0,0,2023,Japan Women
10,2023-08-11,19:30,World Cup,Quarter-finals,Fri,Neutral,L,1,2,se Sweden,1.7,2.0,50.0,43217.0,Saki Kumagai,3-4-3,4-2-3-1,Esther Staubli,Match Report,,10.0,3.0,30.0,0.1,0.33,18.1,1.0,0,1,2023,Japan Women
14,2023-07-23,20:00,World Cup,Group stage,Sun,Neutral,D,0,0,jm Jamaica,2.0,0.2,71.0,39045.0,Wendie Renard,4-4-2,4-4-1-1,María Carvajal,Match Report,,14.0,5.0,35.7,0.0,0.0,11.4,0.0,0,0,2023,France Women
15,2023-07-29,20:00,World Cup,Group stage,Sat,Neutral,W,2,1,br Brazil,1.2,1.6,54.0,49378.0,Wendie Renard,4-4-2,4-4-2,Kate Jacewicz,Match Report,,19.0,7.0,36.8,0.11,0.29,19.6,0.0,0,0,2023,France Women
16,2023-08-02,20:00,World Cup,Group stage,Wed,Neutral,W,6,3,pa Panama,4.4,1.5,71.0,40498.0,Grace Geyoro,4-4-1-1,4-5-1,Laura Fortunato,Match Report,,24.0,6.0,25.0,0.17,0.67,17.8,1.0,2,2,2023,France Women
17,2023-08-08,20:30,World Cup,Round of 16,Tue,Neutral,W,4,0,ma Morocco,2.2,0.0,73.0,13557.0,Wendie Renard,4-4-1-1,4-4-2,Tori Penso,Match Report,,15.0,5.0,33.3,0.27,0.8,15.8,0.0,0,0,2023,France Women
18,2023-08-12,17:00,World Cup,Quarter-finals,Sat,Neutral,D,0 (6),0 (7),au Australia,2.0,1.6,50.0,49461.0,Wendie Renard,4-4-1-1,4-4-2,María Carvajal,Match Report,Australia won on penalty kicks following extra time,21.0,5.0,23.8,0.0,0.0,17.6,0.0,0,0,2023,France Women
13,2023-07-23,19:30,World Cup,Group stage,Sun,Neutral,W,1,0,pt Portugal,1.7,0.1,55.0,11991.0,Sherida Spitse,3-1-4-2,4-3-1-2,Kateryna Monzul,Match Report,,12.0,5.0,41.7,0.08,0.2,16.0,0.0,0,0,2023,Netherlands Women
14,2023-07-27,13:00,World Cup,Group stage,Thu,Neutral,D,1,1,us USA,0.3,0.9,55.0,27312.0,Sherida Spitse,3-1-4-2,4-3-3,Yoshimi Yamashita,Match Report,,5.0,1.0,20.0,0.2,1.0,19.1,0.0,0,0,2023,Netherlands Women
15,2023-08-01,19:00,World Cup,Group stage,Tue,Neutral,W,7,0,vn Vietnam,4.9,0.4,71.0,8215.0,Sherida Spitse,3-1-4-2,5-4-1,Ivana Martinčić,Match Report,,42.0,17.0,40.5,0.17,0.41,17.4,0.0,0,0,2023,Netherlands Women
